SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_d9,L_d10,L_theta1,L_theta2,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_d9,R_d10,R_theta1,R_theta2
40,15.4209,20.5541,20.5667,0.1675,0.0101,11.8838,7.9921,12.1708,33.9,55.9,192.7,56.5,115.4,1.6988,0.9894,1.8469,2.0611,6.1612,3.0905,0.75,1.2,1.28,0.25,9.7232,21.9099,1.8022,0.9893,1.7902,2.1123,6.0864,2.7145,0.75,1.17,1.24,0.25,9.0404,19.9811
41,15.8447,22.3095,20.2656,0.1405,1.2487,12.6754,5.2148,10.8006,32.1,53.2,177.5,57.6,109.3,1.689,0.852,1.7314,2.2904,5.5257,2.6749,0.47,1.07,1.15,0.25,7.636,12.7432,1.666,0.9507,1.4584,2.1702,5.6548,2.5683,0.47,1.02,1.15,0.25,6.0596,26.8335
42,15.8387,18.2652,19.5333,0.1061,1.0135,11.9044,5.3659,12.931,34.2,58,181.6,53.3,116.7,1.5683,0.955,1.5626,2.1091,6.0559,2.5172,0.34,1.45,1.17,0.27,2.6263,22.2197,1.6781,1.0184,1.6168,2.1211,6.1293,2.5536,0.34,1.46,1.2,0.27,2.9669,19.282
43,16.0926,20.4983,20.5009,0.2967,0.4172,14.5011,4.8999,13.3726,39.1,61.8,184.6,56.1,124.6,1.6318,0.8973,2.0272,2.4667,6.7087,2.7608,0.53,0.69,0.86,0.29,17.3185,12.8108,1.6371,0.9541,1.9892,2.1709,6.4276,3.0199,0.53,0.7,0.8,0.29,12.1928,25.8448
44,15.1091,20.5063,19.686,0.4134,0.5981,13.1157,5.5607,14.0764,34.9,56,178.1,54.9,116.9,1.7432,0.9449,1.9092,2.1059,5.9406,3.1855,0.84,1.22,1.32,0.24,13.9533,19.4855,1.7812,1.0746,1.9438,2.2046,6.048,3.1908,0.84,1.26,1.26,0.24,12.0319,18.3209
45,14.9857,21.1911,20.1043,0.2939,0.5738,12.2435,7.2985,11.3085,36.4,60.4,183.2,57.2,123.2,1.6574,1.0701,1.6882,1.9757,6.3975,2.8051,0.5,1.4,1.4,0.23,14.3411,18.1576,1.6705,1.1961,1.74,2.0341,6.407,2.7266,0.5,1.4,1.4,0.23,7.4546,20.0727
46,14.4386,21.4761,20.6487,0.3076,0.0779,10.3369,7.3266,10.2719,27.9,48.1,166.5,57.9,96.9,1.7919,1.0866,1.2838,1.7669,5.6593,2.7316,0.43,0.93,0.99,0.24,4.2059,39.5613,1.7362,0.9961,1.3257,1.6204,5.74,2.7264,0.43,1,1.2,0.24,2.653,35.0756
47,16.9218,21.6879,21.0871,0.2395,0.4792,13.7765,6.4505,15.6494,29.3,57.5,176.1,59.8,119.8,1.8503,0.9873,2.1566,2.602,6.8276,3.4548,0.71,1.22,1.12,0.3,16.5444,22.8893,1.91,1.0784,2.0163,2.6523,7.0096,3.1068,0.71,1.23,1,0.3,16.9832,31.8436
48,14.9948,20.1166,17.9359,0.2144,0.0256,10.3916,6.3139,9.6353,26.4,47.1,156.7,55.2,96.1,1.716,0.9149,1.3374,1.9573,5.7167,2.7941,0.42,0.99,0.93,0.36,8.0393,26.2162,1.6946,0.9448,1.1351,1.859,5.802,2.4589,0.42,1,0.95,0.36,4.6225,35.6242
49,15.4809,21.7407,20.9944,0.1836,0.0136,12.1139,4.5237,12.8254,35.1,55,176.1,55.7,118.1,2.1019,1.0304,1.8066,2.1069,6.1259,2.8759,0.83,1.12,1.06,0.38,13.7884,41.5432,2.1276,1.0351,1.7785,2.108,6.3255,2.753,0.83,1.08,1.1,0.38,6.3509,37.8943
